ELEMENT,MOL,RESIDUE_NUM,X,Y,Z
HW2,HOH,43,10.568466297012632,16.29072517632274,12.627748232011962
MW,HOH,43,9.722462416264289,16.413779880264812,12.806933286121165
OW,HOH,44,12.8937,16.31571,9.64929
HW1,HOH,44,12.41537073809954,15.54056463660526,9.943552861600645
HW2,HOH,44,13.558698459716574,16.457472596116652,10.323021821288599
MW,HOH,44,12.917595909484337,16.234629364025317,9.773204998265673
OW,HOH,45,7.05763,7.05763,15.71263
HW1,HOH,45,7.495548747438204,6.604591836045161,16.433194450928983
HW2,HOH,45,6.870812936110364,7.931149972033133,16.056575369643046
MW,HOH,45,7.0897740450360285,7.111456744547036,15.848900100344204
OW,HOH,46,3.33321,8.7438,13.97679
HW1,HOH,46,2.5514518924631595,8.337023345784731,13.603132851954028
HW2,HOH,46,3.6450346182609086,9.337031455505812,13.293361512852373
MW,HOH,46,3.273052843625132,8.767668464142366,13.841470284957028
OW,HOH,47,4.4163,7.66071,16.31571
HW1,HOH,47,3.9889546688377595,7.960670318968334,15.513447173565762
HW2,HOH,47,4.7238596753237285,6.778320533638874,16.108289437929383
MW,HOH,47,4.40096599083873,7.586152042126058,16.186458344441295
OW,HOH,48,8.77879,3.34441,13.98761
HW1,HOH,48,8.474057026774133,2.991835903695754,14.823709988006318
HW2,HOH,48,8.075181499914436,3.9272458493065208,13.70219003088346
MW,HOH,48,8.649710125776261,3.3738862824923403,14.05810368637232
OW,HOH,49,7.71811,4.43406,16.33288
HW1,HOH,49,6.98634244053196,4.968704823347069,16.0248106643329
HW2,HOH,49,7.881082244299128,4.7413141982923985,17.224657967781106
MW,HOH,49,7.645297337142902,4.541833232281547,16.407601747355237
OW,HOH,50,1.59737,1.59737,15.71263
HW1,HOH,50,1.2111805671843854,0.8599129405349921,15.24014791099897
HW2,HOH,50,1.5036214549286484,2.3401139280006165,15.116154948371502
MW,HOH,50,1.5359321483787638,1.5980467829586271,15.57579058903152
OW,HOH,51,0.99429,0.99429,13.0713
HW1,HOH,51,0.5638479697044289,0.4986795978159209,13.76794614798473
HW2,HOH,51,0.27624504418025675,1.4077730813576688,12.592060397449472
MW,HOH,51,0.8472698092817528,0.983776712068093,13.09913066082555
OW,HOH,52,4.2387,0.99429,16.31571
HW1,HOH,52,5.016458810848042,1.4476584943636737,15.990467947727153
HW2,HOH,52,4.41739399159665,0.8473880742772351,17.24453454564153
MW,HOH,52,4.361137498315982,1.0335214183051866,16.392975841373975
OW,HOH,53,0.93689,4.22094,16.33288
HW1,HOH,53,1.0496919836359233,4.734476115373075,15.533009317954875
HW2,HOH,53,0.04256450141973356,4.411203484060074,16.61609934436489
MW,HOH,53,0.8368455610059149,4.31103484006961,16.26674239537854
OW,HOH,54,7.05763,1.59737,10.25237
HW1,HOH,54,7.760918670299426,1.2077679378815436,9.732928351860853
HW2,HOH,54,6.701377469452158,0.8678459885441288,10.759439059386978
MW,HOH,54,7.102054812879228,1.4541083603264078,10.25078615936444
OW,HOH,55,7.66071,0.99429,12.8937
HW1,HOH,55,7.106397706504798,1.6116634088695396,13.371007486219204
HW2,HOH,55,7.606959533675017,0.1831847173561434,13.399126301489227
MW,HOH,55,7.582870630465819,0.9694899827818306,13.01950178150983
OW,HOH,56,4.4163,0.99429,9.64929
HW1,HOH,56,5.134220661943069,1.0614522530234287,10.278830117406383
HW2,HOH,56,4.095320281240138,1.891102334706392,9.554746609626545
MW,HOH,56,4.46711322981993,1.1176903775828182,9.717776035795726
OW,HOH,57,3.32578,3.34106,8.5909
HW1,HOH,57,3.658061776216164,3.825271908308559,7.835015437684552
HW2,HOH,57,2.414791570946212,3.1471609496045883,8.37013321675155
MW,HOH,57,3.251698566341018,3.3782235484375134,8.465876844469337
OW,HOH,58,1.59737,7.05763,10.25237
HW1,HOH,58,1.8080831528573627,7.955554602764891,10.508414366589896
HW2,HOH,58,2.153219249726355,6.512552328018736,10.809287791497216
MW,HOH,58,1.6954992361061048,7.102798664238524,10.356438964623589
OW,HOH,59,0.99429,7.66071,12.8937
HW1,HOH,59,1.2918237383321114,6.767250036490475,13.065279738196793
HW2,HOH,59,1.7368904942721355,8.212342451547228,13.139628089909992
MW,HOH,59,1.1274397309928599,7.6169519543198945,12.947146039229615
OW,HOH,60,0.93689,4.43406,9.63213
HW1,HOH,60,1.1017363339372268,4.8744255934182705,8.79838004316592
HW2,HOH,60,1.6841287901858735,4.6719144222154085,10.181020154743301
MW,HOH,60,1.0536479001947796,4.520880344725599,9.595664508498869
OW,HOH,61,7.05763,15.71263,7.05763
HW1,HOH,61,6.562249291361453,16.245126507895502,6.435308821276452
HW2,HOH,61,6.797433489174323,14.812181545059659,6.863391531488503
MW,HOH,61,6.960906999869427,15.66552771143802,6.95310051336177
OW,HOH,62,7.66071,16.31571,4.4163
HW1,HOH,62,7.110162483281812,16.71843029043115,3.744776549992119
HW2,HOH,62,8.101628050941866,15.595788598066415,3.965151847403087
MW,HOH,62,7.646676105701125,16.275104430696278,4.2725844898337
OW,HOH,63,4.4163,16.31571,7.66071
HW1,HOH,63,4.26556083589309,15.944317440240683,6.791471551092122
HW2,HOH,63,3.5396590059561044,16.497663635220167,7.999267497763521
MW,HOH,63,4.284782944415088,16.291459532078363,7.592776435587847
OW,HOH,64,8.7438,13.97679,3.33321
HW1,HOH,64,8.068625197766957,14.655051817784509,3.3516420879235915
HW2,HOH,64,9.541238863430788,14.424216424856857,3.616291270185829
MW,HOH,64,8.75945127494921,14.120891676486742,3.3718073475966728
OW,HOH,65,3.32578,13.96894,8.7191
HW1,HOH,65,2.4247931771520714,13.654725007280728,8.643516679718182
HW2,HOH,65,3.8404987604330927,13.348162054967943,8.203414639804466
MW,HOH,65,3.2763330276867277,13.849249623278038,8.643410475242268
OW,HOH,66,1.59737,10.25237,7.05763
HW1,HOH,66,0.6943575226320123,10.12130871753527,7.34679774017243
HW2,HOH,66,1.735368879376433,9.580709385847522,6.3897562039223565
MW,HOH,66,1.4994390295680213,10.149611912393315,7.009151055755567
OW,HOH,67,0.99429,9.64929,4.4163
HW1,HOH,67,1.860186212104618,9.907124937219182,4.732483979372858
HW2,HOH,67,1.057448453610836,8.702741126858072,4.288698635621589
MW,HOH,67,1.11322020625612,9.561126306868253,4.440440849968539
OW,HOH,68,3.33321,8.5662,3.33321
HW1,HOH,68,3.2359156812063405,7.722312965002654,2.8920570769745866
HW2,HOH,68,3.5283194435251497,9.184175843007962,2.6287499016225926
MW,HOH,68,3.345731516105111,8.537280641806829,3.1865577114393364
OW,HOH,69,0.93689,12.87594,7.67788
HW1,HOH,69,0.1870034479181395,12.652047300012653,8.229034291373255
HW2,HOH,69,1.348905140623936,12.034917058734258,7.480020864599692
MW,HOH,69,0.893638382914806,12.739617949712393,7.723106042470594
OW,HOH,70,7.05763,10.25237,1.59737
HW1,HOH,70,6.780369179334141,10.046848762711797,2.490181180904015
HW2,HOH,70,6.901625402915361,11.192542719342278,1.5080503308727085
MW,HOH,70,7.002166799180671,10.346414253273053,1.7002266076325108
OW,HOH,71,4.4163,9.64929,0.99429
HW1,HOH,71,4.461289440500066,9.668971598269948,1.950228559392304
HW2,HOH,71,4.664201556925476,8.754735651406596,0.760735844210479
MW,HOH,71,4.453793581400353,9.537295732618865,1.0867639192289857
OW,HOH,72,7.71811,12.87594,0.97713
HW1,HOH,72,8.50487854980214,13.411448791580908,1.0793929883281033
HW2,HOH,72,8.04861072728854,11.992013999356383,0.8168894522353163
MW,HOH,72,7.861133947321435,12.831338393586346,0.9697081728928634
OW,HOH,73,1.59737,15.71263,1.59737
HW1,HOH,73,2.4856915866278255,15.450938629187698,1.355207730078774
HW2,HOH,73,1.0305648283655278,15.198474569416643,1.0223913595184109
MW,HOH,73,1.6385279802146961,15.613312248829697,1.4927661046633558
OW,HOH,74,0.99429,16.31571,4.2387
HW1,HOH,74,1.0235285459237897,16.135801040560985,3.299016944153064
HW2,HOH,74,1.370159689354506,15.534475235838535,4.644430187427713
MW,HOH,74,1.046148741746479,16.192672007180114,4.170347590700982
OW,HOH,75,4.2387,16.31571,0.99429
HW1,HOH,75,3.9829350939223196,16.307115466847776,0.07193547997043437
HW2,HOH,75,4.739446425463311,15.508478837061919,1.1120046323417394
MW,HOH,75,4.270060590183392,16.211274467963417,0.8912863863957126
OW,HOH,76,0.93689,13.08906,0.97713
HW1,HOH,76,0.467715266644468,12.36546408716991,0.5617782657838601
HW2,HOH,76,0.6221046299238248,13.091747351977675,1.8810871409781293
MW,HOH,76,0.8365336482820934,12.996775006449104,1.039677387089767
OW,HOH,77,15.71263,7.05763,7.05763
HW1,HOH,77,14.808020545021009,6.967004954575282,7.357144632204134
HW2,HOH,77,16.073474303906796,7.76348921799374,7.594079903636195
MW,HOH,77,15.643021500136213,7.136387396889126,7.164643546499687
OW,HOH,78,16.31571,7.66071,4.4163
HW1,HOH,78,15.768652773571873,7.540909154097224,3.6400227579442084
HW2,HOH,78,16.390147396281698,8.61007270511341,4.513250877121113
MW,HOH,78,16.255208959583005,7.766903926642793,4.329338029215768
OW,HOH,79,13.97679,8.7438,3.33321
HW1,HOH,79,14.418417054898066,8.167618970248512,2.709341003465812
HW2,HOH,79,14.688156528306076,9.173724404463378,3.8079206583515584
MW,HOH,79,14.124387089517711,8.725077387376936,3.3141159331172734
OW,HOH,80,16.37311,4.43406,7.67788
HW1,HOH,80,15.775548763645746,3.7843697415599022,7.307676012049012
HW2,HOH,80,16.784026630468965,3.9877846310412113,8.41829951214479
MW,HOH,80,16.349217238579513,4.2937631768676505,7.725272053747105
OW,HOH,81,14.04646,3.29529,8.72984
HW1,HOH,81,13.347875396592842,3.5764788851871607,8.1389492002496
HW2,HOH,81,14.827533997377586,3.746816927038663,8.41003817092515
MW,HOH,81,14.057019637662753,3.3890864641811795,8.613260356003801
OW,HOH,82,10.25237,1.59737,7.05763
HW1,HOH,82,10.146838586455274,0.6915503795300874,7.348477318755039
HW2,HOH,82,9.946175387854442,1.5954407474901349,6.150723519497305
MW,HOH,82,10.199664101237145,1.481167192268435,6.9787669945425135
OW,HOH,83,9.64929,0.99429,4.4163
HW1,HOH,83,10.176397446360722,1.7913473975480452,4.471839704761704
HW2,HOH,83,8.866473382507467,1.2574995155822968,3.9324149289506014
MW,HOH,83,9.61655614096398,1.130016957000991,4.361466625128331
OW,HOH,84,12.8937,0.99429,7.66071
HW1,HOH,84,11.945949080864835,1.0847041386298177,7.759861071170597
HW2,HOH,84,13.046774147476171,0.04943879778349447,7.668713164653257
MW,HOH,84,12.791971785452398,0.8849117470777315,7.674427035001309
OW,HOH,85,8.5662,3.33321,3.33321
HW1,HOH,85,9.374251797428972,3.704464942603569,2.9790135100904758
HW2,HOH,85,8.182455197628094,2.850949172592422,2.6008226412882953
MW,HOH,85,8.6205164146312,3.3189999074590864,3.1941141577423493
OW,HOH,86,15.71263,1.59737,1.59737
HW1,HOH,86,16.290154752683026,2.247849247198575,1.996831201748535
HW2,HOH,86,16.03463086154949,1.5092411393591132,0.7002723283479529
MW,HOH,86,15.827780131398299,1.669357634236798,1.533666527868341
OW,HOH,87,16.31571,0.99429,4.2387
HW1,HOH,87,16.87437508689457,1.5299038884694984,3.675458315406554
HW2,HOH,87,15.465459703463305,0.9899358863028724,3.7990648555527264
MW,HOH,87,16.278383575190254,1.0622976608200456,4.110319666173846
OW,HOH,88,13.0713,0.99429,0.99429
HW1,HOH,88,12.589923096736591,1.4152364736339131,0.28203061147661734
HW2,HOH,88,12.776043701296674,0.08390792336237496,0.9783208167718468
MW,HOH,88,12.971881580068677,0.9316363377749748,0.9010679567380853
OW,HOH,89,16.37311,4.22094,0.97713
HW1,HOH,89,16.37010134691059,3.2637539636544304,0.982460537650822
HW2,HOH,89,15.472389260390502,4.464951196186703,1.1901987634845905
MW,HOH,89,16.25742173423942,4.1296450160052185,1.0050877455329006
OW,HOH,90,10.25237,7.05763,1.59737
HW1,HOH,90,10.1404483065705,7.921316377038528,1.994547251435595
HW2,HOH,90,9.515522430869613,6.544012308849864,1.9282577022559821
MW,HOH,90,10.143717293991182,7.102443015372409,1.6905710981761886
OW,HOH,91,12.8937,7.66071,0.99429
HW1,HOH,91,12.276945627218407,8.235084189853112,0.540488559405808
HW2,HOH,91,12.376133114446592,7.25414655740104,1.6893127002196588
MW,HOH,91,12.748493193347139,7.682191800285196,1.0251692315665581
OW,HOH,92,9.59189,4.43406,0.97713
HW1,HOH,92,8.86672769930129,4.617296905286048,0.37979722090065626
HW2,HOH,92,9.193419345112163,4.440514604623113,1.8474271262002513
MW,HOH,92,9.448051425053313,4.45834280189644,1.012072729743764
OW,HOH,93,11.38513,2.73013,14.57987
HW1,HOH,93,12.32565877836955,2.8994307265794217,14.525277189682518
HW2,HOH,93,11.011133789915544,3.2133547243484224,13.843082296301809
MW,HOH,93,11.457653003955928,2.8136611304383297,14.478563746200091
OW,HOH,94,11.98821,3.33321,17.2212
HW1,HOH,94,11.84888934701821,3.488037326007247,18.15546345276596
HW2,HOH,94,11.441352457728934,2.573910607776195,17.01960270430929
MW,HOH,94,11.900370912267707,3.2558302825688026,17.314990107722814
OW,HOH,95,12.04561,0.10656,13.95962
HW1,HOH,95,12.375703671411621,0.8595300707251954,14.449834039462447
HW2,HOH,95,11.093313020128216,0.1734092378396285,14.029581990590176
MW,HOH,95,11.965960469634181,0.21150676261625567,14.031329290370536
OW,HOH,96,2.73013,11.38513,14.57987
HW1,HOH,96,2.765217520283842,12.326774979118214,14.74813118423982
HW2,HOH,96,2.6642140688656504,10.988425721902537,15.448500550154588
MW,HOH,96,2.726183591466358,11.454888984440215,14.71260465210126
OW,HOH,97,3.33321,11.98821,17.2212
HW1,HOH,97,3.5097419101584078,12.36041736405737,16.35718126696391
HW2,HOH,97,4.1765357752386425,11.638357201375914,17.508662346252578
MW,HOH,97,3.4637640883137966,11.991071654083292,17.147393826338902
OW,HOH,98,0.0888,11.98821,13.97679
HW1,HOH,98,-0.8207689684841545,11.855610831238838,14.243875838663378
HW2,HOH,98,0.37540585929891246,11.12931588922915,13.666330968727461
MW,HOH,98,0.009053205974377379,11.861286897853486,13.971237708048458
OW,HOH,99,14.57987,5.92487,14.57987
HW1,HOH,99,14.920300017498144,5.599633030161349,15.413265846903728
HW2,HOH,99,15.13972999308552,5.519866115282327,13.917483611548459
MW,HOH,99,14.695117983353688,5.831390360260881,14.601761273910995
OW,HOH,100,13.97679,5.32179,17.2212
HW1,HOH,100,13.253975022766667,4.97998121167752,17.747442461810806
HW2,HOH,100,14.724074249865064,4.770344337667446,17.452935506986336
MW,HOH,100,13.979922362118634,5.207442653201209,17.318230325010227
OW,HOH,101,17.2212,5.32179,13.97679
HW1,HOH,101,17.150212777720878,4.939395486251649,14.851410556486215
HW2,HOH,101,17.779655087324823,4.713016248925242,13.493313165763457
